month,billing_country,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales,average_order_value
2017-11,France,11,688.82,-31.95,-16.99,639.88,620.63,0,1260.51,116.136
2017-11,India,0,0,0,-107.15,-107.15,0,0,-107.15,0
2017-11,Portugal,1,59.98,-5.99,0,53.99,14.54,0,68.53,68.53
2017-11,Australia,21,2100.39,-183.87,-45,1871.52,1222.78,0,3094.3,152.524
2017-11,Finland,2,134.97,0,0,134.97,118.56,0,253.53,126.765
2017-11,Malaysia,1,169.94,-33.94,0,136,75.78,0,211.78,211.78
2017-11,South Korea,1,243.93,-60.95,0,182.98,16.06,0,199.04,199.04
2017-11,Italy,4,237.92,-11.98,-92.15,133.79,162.73,0,296.52,103.85
2017-11,Colombia,1,72.97,-14.57,0,58.4,62.73,0,121.13,121.13
2017-11,Spain,3,342.75,-37.31,-32,273.44,194.57,0,468.01,166.67
2017-11,Japan,6,627.79,-94.48,0,533.31,396.57,0,929.88,154.98
2017-11,Canada,67,4605.05,-481.35,-176.48,3947.22,2405.38,1.06,6353.66,98.829
2017-11,United States,1311,80756.71,-7914.77,-4052.96,68788.98,15200.34,140.18,84129.5,67.661
2017-11,Switzerland,3,203.93,-14.76,0,189.17,184.62,0,373.79,124.596
2017-11,South Africa,1,69.98,0,0,69.98,65.38,0,135.36,135.36
2017-11,Saudi Arabia,2,118.99,0,0,118.99,113.44,0,232.43,116.215
2017-11,Luxembourg,1,34.98,0,0,34.98,55.89,0,90.87,90.87
2017-11,Slovakia,1,94.96,0,0,94.96,62.67,0,157.63,157.63
2017-11,Vietnam,1,39.99,0,-39.99,0,0,0,0,102.15
2017-11,Germany,11,975.72,-30.75,-19.99,924.98,641.92,0,1566.9,144.262
2017-11,United Kingdom,19,1163.61,-70.1,-58.42,1035.09,830.66,0,1865.75,101.272
2017-11,Netherlands,9,704.84,-8.99,0,695.85,479.3,0,1175.15,130.572
2017-11,Brazil,2,280.98,-24.13,-84.15,172.7,103.25,0,275.95,180.05
2017-11,Lebanon,1,49.99,-7.49,0,42.5,11.49,0,53.99,53.99
2017-11,Ireland,4,328.45,-26.96,0,301.49,81.35,0,382.84,110.53
2017-11,Argentina,2,167.94,-22.56,0,145.38,125.46,0,270.84,135.42
2017-11,Romania,1,37.98,-2.69,0,35.29,60.2,0,95.49,95.49
2017-11,Hong Kong,5,719.83,-29.19,-44.99,645.65,274.5,0,920.15,204.77
2017-11,China,1,47.96,-7.16,0,40.8,13.68,0,54.48,54.48
2017-11,New Zealand,1,20,0,0,20,63.71,0,83.71,83.71
2017-11,Denmark,3,229.89,0,0,229.89,184.63,0,414.52,138.173
2017-11,Czech Republic,2,114.95,-14.66,0,100.29,83.02,0,183.31,91.655
2017-11,Austria,1,257.91,0,0,257.91,72.74,0,330.65,330.65
2017-11,Mexico,3,159.95,-28.96,0,130.99,124.45,0,255.44,85.146
2017-11,Belgium,1,49.99,-9.99,-19.99,20.01,59.28,0,79.29,99.28
2017-11,Russia,1,34.96,-1.48,0,33.48,66.01,0,99.49,99.49
2017-11,Sweden,1,17.99,0,0,17.99,11.49,0,29.48,29.48
2017-11,Poland,2,99.98,-7.49,0,92.49,71.54,0,164.03,82.015
2017-11,Chile,1,120,0,0,120,-46.03,0,73.97,131.7
2017-12,Russia,1,17.99,0,0,17.99,11.02,0,29.01,29.01
2017-12,United Kingdom,8,660.68,-11.98,0,648.7,444.61,0,1093.31,140.863
2017-12,Australia,14,957.58,-93.05,-17,847.53,861.45,0,1708.98,123.284
2017-12,Finland,0,0,0,-39.99,-39.99,-20,0,-59.99,0
2017-12,France,8,463.85,-47.81,-221.89,194.15,405.36,0,599.51,102.675
2017-12,Switzerland,2,135.94,0,0,135.94,70.9,0,206.84,103.42
2017-12,Luxembourg,2,189.94,0,0,189.94,121.95,0,311.89,155.945
2017-12,Argentina,1,139.94,-20.96,-38.23,80.75,67.73,0,148.48,186.71
2017-12,Poland,3,486.85,-34.46,0,452.39,238.22,0,690.61,230.203
2017-12,Sweden,1,59.98,-8.98,0,51,11.62,0,62.62,62.62
2017-12,Canada,84,5854.66,-330.69,-221.72,5302.25,3201.94,0,8504.19,105.302
2017-12,Germany,15,1183.16,-74.7,-12.99,1095.47,798.14,0,1893.61,127.106
2017-12,Denmark,1,80.98,0,-15.99,64.99,62.67,0,127.66,143.65
2017-12,Italy,5,286.92,-21.27,0,265.65,296.4,0,562.05,112.41
2017-12,Spain,7,558.89,-6.74,0,552.15,336.99,0,889.14,127.02
2017-12,Mongolia,1,111.94,0,0,111.94,75.78,0,187.72,187.72
2017-12,Chile,0,0,0,-29.99,-29.99,0,0,-29.99,0
2017-12,United States,1853,100711.77,-6494.56,-6615.14,87602.07,23693.25,137.92,111433.24,64.367
2017-12,Norway,2,168.98,-2.99,0,165.99,74.01,0,240,120
2017-12,India,4,349.43,-16.62,0,332.81,255.25,0,588.06,147.015
2017-12,China,3,231.88,0,-179.91,51.97,23.5,0,75.47,111.826
2017-12,Turkey,2,159.96,-5.99,0,153.97,143.63,0,297.6,148.8
2017-12,Philippines,1,149.89,0,0,149.89,38.79,0,188.68,188.68
2017-12,Austria,2,133.9,0,0,133.9,121.95,0,255.85,127.925
2017-12,United Arab Emirates,1,124.97,-31.22,0,93.75,59.28,0,153.03,153.03
2017-12,Brazil,3,186.96,0,0,186.96,177.33,0,364.29,121.43
2017-12,Thailand,1,39.99,0,0,39.99,62.16,0,102.15,102.15
2017-12,Saudi Arabia,1,49.99,0,0,49.99,59.28,0,109.27,109.27
2017-12,Belgium,1,19.99,0,0,19.99,11.2,0,31.19,31.19
