day,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales,average_order_value
11/1/17,43,2319.96,-221.46,-51.77,2046.73,589.62,5.09,2641.44,62.63
11/2/17,20,1639.52,-103.09,-240.44,1295.99,356.86,2.23,1655.08,95.88
11/3/17,36,2448.35,-218.37,0,2229.98,594.89,4.69,2829.56,78.59
11/4/17,41,3063.41,-222.78,-44.99,2795.64,764.25,0,3559.89,88.2
11/5/17,27,1227.63,-95.01,0,1132.62,565,0.19,1697.81,62.88
11/6/17,27,1389.53,-99.64,-227.67,1062.22,414.28,0.65,1477.15,64.26
11/7/17,51,3268.7,-179.87,-74.41,3014.42,792.98,3.12,3810.52,76.67
11/8/17,60,5898.95,-680.87,-452.08,4766,754.4,30.13,5550.53,100.61
11/9/17,48,3408.35,-351.19,-118.23,2938.93,620.03,1.06,3560.02,77.48
11/10/17,30,2107.4,-48.96,-199.94,1858.5,576.46,0,2434.96,89.28
11/11/17,35,1757.42,-136.64,-223.38,1397.4,620.91,0,2018.31,64.67
11/12/17,40,2613.99,-182.57,-21.25,2410.17,795.49,0,3205.66,80.93
11/13/17,43,2829.67,-100.84,-182.16,2546.67,746.65,0.64,3293.96,81.41
11/14/17,32,1772.98,-114.14,-190.15,1468.69,518.61,0.62,1987.92,68.06
11/15/17,39,2198.33,-92.69,0,2105.64,549.46,18.75,2673.85,68.56
11/16/17,51,2634.92,-222.72,-531.22,1880.98,732.32,7.38,2620.68,62.45
11/17/17,40,2943.04,-179.78,-268.27,2494.99,917.49,0,3412.48,92.26
11/18/17,34,1809.88,-85.16,-8.5,1716.22,506.04,-0.37,2221.89,65.61
11/19/17,34,1815.91,-120.76,0,1695.15,523.77,0,2218.92,65.39
11/20/17,41,2127.05,-159.18,-358.17,1609.7,485.45,4.14,2099.29,65.36
11/21/17,29,1795.93,-93.13,-63.77,1639.03,424.57,1.12,2064.72,73.56
11/22/17,31,1554.5,-91,-44.99,1418.51,662.52,0,2081.03,69.02
11/23/17,33,2011.35,-140.87,0,1870.48,678.43,0,2548.91,77.23
11/24/17,138,8267.84,-1058.19,-56.04,7153.61,2199.84,6.55,9360,68.33
11/25/17,97,5753.07,-747.77,-74.98,4930.32,1529.83,0.06,6460.21,68.11
11/26/17,73,4007.57,-572.66,-8.39,3426.52,1081.75,2.87,4511.14,61.91
11/27/17,191,12658.16,-2331.32,-590.61,9736.23,2646.06,11.21,12393.5,68.54
11/28/17,50,3568.71,-202.33,-388.64,2977.74,929.72,40.92,3948.38,88.11
11/29/17,44,3557.43,-118.71,-171.42,3267.3,671.03,0,3938.33,95.26
11/30/17,51,3737.42,-206.82,-198.79,3331.81,1036.61,0.19,4368.61,90.38
12/1/17,48,2157.1,-120.88,-285.35,1750.87,739.16,0,2490.03,58.29
12/2/17,47,3355.65,-195.97,-167.18,2992.5,700.32,34.37,3727.19,84.05
12/3/17,74,4274.02,-180.95,-160.23,3932.84,1141.25,39.12,5113.21,72.07
12/4/17,78,3571.77,-181.8,-465.61,2924.36,1074.89,0.25,3999.5,57.85
12/5/17,89,4765.02,-276.11,-45.73,4443.18,1454.89,5.94,5904.01,67.11
12/6/17,71,3254.92,-227.86,-218.11,2808.95,1120.14,3.54,3932.63,59.45
12/7/17,72,3719.55,-181.34,-240.59,3297.62,1270.1,0,4567.72,68.63
12/8/17,74,4327.48,-298.45,-607.48,3421.55,1301.94,10.74,4734.23,72.33
12/9/17,95,5099.25,-366.75,-280.38,4452.12,1666.07,-2.41,6115.78,67.84
12/10/17,89,4506.98,-252.32,-117.02,4137.64,1447.27,4.99,5589.9,64.24
12/11/17,104,4973.85,-272.37,-334.44,4367.04,1662.13,1.2,6030.37,61.95
12/12/17,104,6996.71,-360.17,-84.39,6552.15,1632.2,13.12,8197.47,80.44
12/13/17,135,8442.88,-534.37,-403.6,7504.91,2268.96,0.33,9774.2,75.69
12/14/17,132,6890.14,-545.06,-696.29,5648.79,1550.18,7.39,7206.36,61.66
12/15/17,143,9093.88,-586.39,-208.75,8298.74,2214.81,0.68,10514.23,75.67
12/16/17,97,6257.73,-441.43,-499.11,5317.19,1540.87,0,6858.06,76.65
12/17/17,86,4494.64,-327.12,-81.03,4086.49,1284.67,0.25,5371.41,64.23
12/18/17,83,4560.15,-295.55,-480.33,3784.27,1092.42,3.81,4880.5,66.89
12/19/17,65,3931.31,-225.68,-881.9,2823.73,1213.86,2.05,4039.64,76.49
12/20/17,51,2753.1,-92.25,-127.96,2532.89,1064.42,0,3597.31,73.04
12/21/17,35,2217.13,-174.32,-176.19,1866.62,588.51,0,2455.13,76.81
12/22/17,35,2364.02,-77.91,0,2286.11,637.15,5.94,2929.2,83.69
12/23/17,22,1569.67,-116.14,0,1453.53,358.49,0,1812.02,82.36
12/24/17,33,1508.58,-112.92,0,1395.66,584.84,0,1980.5,60.01
12/25/17,30,1509.45,-54.95,-183.97,1270.53,644.16,3.49,1918.18,70.23
12/26/17,26,1279.51,-110.16,-16.25,1153.1,461.12,0,1614.22,64.19
12/27/17,28,2080.6,-169.77,-528.1,1382.73,435.45,3.12,1821.3,87.2
12/28/17,36,2446.24,-241.45,-223.45,1981.34,502.08,0,2483.42,75.19
12/29/17,21,1069.62,-107.67,-78.79,883.16,422.7,0,1305.86,65.93
12/30/17,27,1509.12,-106.79,0,1402.33,459.57,0,1861.9,68.95
12/31/17,18,715.74,-58.91,0,656.83,229.36,0,886.19,49.23
1/1/18,23,1696.9,-162.97,0,1533.93,458.39,0.37,1992.69,86.63
1/2/18,28,1132.63,-68.62,-142.35,921.66,415.51,0,1337.17,53.45
1/3/18,18,768.24,-37.79,-439.68,290.77,220.58,4.04,515.39,54.69
1/4/18,22,1135.6,-104.64,0,1030.96,429.09,0,1460.05,66.36
1/5/18,19,1188.53,-26.71,-197.43,964.39,339.09,0,1303.48,79.15
1/6/18,26,1292.07,-75.95,-157.98,1058.14,391.2,0,1449.34,62.92
